// 경기명 리스트. 모브 우마무스메 목록도 저 아래 있어서 Ctrl+F로 검색하는걸 추천 //
フェブラリーステークス	페브러리 스테이크스
高松宮記念	타카마츠노미야 기념
大阪杯	오사카배
桜花賞	벚꽃상
皐月賞	사츠키상
天皇賞（春）	텐노상 (봄)
NHKマイルカップ	NHK 마일컵
ヴィクトリアマイル	빅토리아 마일
オークス	오크스
東京優駿（日本ダービー）	도쿄 우준(일본 더비)
安田記念	야스다 기념
宝塚記念	타카라즈카 기념
スプリンターズステークス	스프린터스 스테이크스
秋華賞	추화상
菊花賞	국화상
天皇賞（秋）	텐노상 (가을)
エリザベス女王杯	엘리자베스 여왕배
マイルチャンピオンシップ	마일 챔피언십
ジャパンカップ	재팬컵
チャンピオンズカップ	챔피언스컵
阪神ジュベナイルフィリーズ	한신 쥬버나일 필리스
朝日杯フューチュリティステークス	아사히배 퓨처러티 스테이크스
有馬記念	아리마 기념
ホープフルステークス	호프풀 스테이크스
宝塚記念	타카라즈카 기념
菊花賞	국화상
天皇賞（春）	텐노상 (봄)
皐月賞	사츠키상
帝王賞	제왕상
ジャパンダートダービー	재팬 더트 더비
JBCレディスクラシック	JBC 레이디스 클래식
JBCスプリント	JBC 스프린트
JBCクラシック	JBC 클래식
東京大賞典	도쿄 대상전
川崎記念	카와사키 기념
全日本ジュニア優駿	전일본 주니어 우준
かしわ記念	카시와 기념
マイルチャンピオンシップ南部杯	마일 챔피언십 난부배
凱旋門賞	개선문상
日経新春杯	닛케이 신춘배
東海ステークス	토카이 스테이크스
アメリカJCC	아메리카 JCC
京都記念	교토 기념
中山記念	나카야마 기념
弥生賞	야요이상
金鯱賞	킨코상
フィリーズレビュー	필리스 레뷰
阪神大賞典	한신 대상전
スプリングステークス	스프링 스테이크스
日経賞	닛케이상
阪神ウマ娘ステークス	한신 우마무스메 스테이크스
ニュージーランドトロフィー	뉴질랜드 트로피
マイラーズカップ	마일러스컵
フローラステークス	플로라 스테이크스
青葉賞	청엽상
京都新聞杯	교토 신문배
京王杯スプリングカップ	케이오배 스프링컵
目黒記念	메구로 기념
札幌記念	삿포로 기념
セントウルステークス	센토 스테이크스
ローズステークス	로즈 스테이크스
セントライト記念	센트라이트 기념
神戸新聞杯	고베 신문배
オールカマー	올 커머스
毎日王冠	마이니치 왕관
京都大賞典	교토 대상전
府中ウマ娘ステークス	후츄 우마무스메 스테이크스
スワンステークス	스완 스테이크스
京王杯ジュニアステークス	케이오배 주니어 스테이크스
アルゼンチン共和国杯	아르헨티나 공화국배
デイリー杯ジュニアステークス	데일리배 주니어 스테이크스
ステイヤーズステークス	스테이어스 스테이크스
阪神カップ	한신컵
スプリングステークス	스프링 스테이크스
レディスプレリュード	레이디스 프렐류드
東京盃	도쿄배
エンプレス杯	엠프리스배
関東オークス	간토 오크스
ダイオライト記念	다이올라이트 기념
さざんかテレビ杯	사잔카TV배
京都金杯	교토 금배
中山金杯	나카야마 금배
シンザン記念	신잔 기념
フェアリーステークス	페어리 스테이크스
愛知杯	아이치배
京成杯	케이세이배
シルクロードステークス	실크로드 스테이크스
根岸ステークス	네기시 스테이크스
きさらぎ賞	키사라기상
東京新聞杯	도쿄 신문배
クイーンカップ	퀸컵
共同通信杯	쿄도통신배
京都ウマ娘ステークス	교토 우마무스메 스테이크스
ダイヤモンドステークス	다이아몬드 스테이크스
小倉大賞典	코쿠라 대상전
アーリントンカップ	알링턴컵
阪急杯	한큐배
チューリップ賞	튤립상
オーシャンステークス	오션 스테이크스
中山ウマ娘ステークス	나카야마 우마무스메 스테이크스
ファルコンステークス	팔콘 스테이크스
フラワーカップ	플라워컵
毎日杯	마이니치배
マーチステークス	마치 스테이크스
ダービー卿チャレンジトロフィー	더비 경 챌린지 트로피
アンタレスステークス	안타레스 스테이크스
福島ウマ娘ステークス	후쿠시마 우마무스메 스테이크스
新潟大賞典	니이가타 대상전
平安ステークス	헤이안 스테이크스
鳴尾記念	나루오 기념
マーメイドステークス	머메이드 스테이크스
エプソムカップ	엡섬컵
ユニコーンステークス	유니콘 스테이크스
函館スプリントステークス	하코다테 스프린트 스테이크스
CBC賞	CBC상
ラジオNIKKEI賞	라디오 NIKKEI상
プロキオンステークス	프로시온 스테이크스
七夕賞	칠석상
函館記念	하코다테 기념
中京記念	츄쿄 기념
函館ジュニアステークス	하코다테 주니어 스테이크스
アイビスサマーダッシュ	이비스 서머 대시
クイーンステークス	퀸 스테이크스
小倉記念	코쿠라 기념
レパードステークス	레오파드 스테이크스
関屋記念	세키야 기념
エルムステークス	엘름 스테이크스
北九州記念	키타큐슈 기념
新潟ジュニアステークス	니이가타 주니어 스테이크스
キーンランドカップ	킨랜드컵
札幌ジュニアステークス	삿포로 주니어 스테이크스
小倉ジュニアステークス	코쿠라 주니어 스테이크스
新潟記念	니이가타 기념
紫苑ステークス	개미취 스테이크스
京成杯オータムハンデキャップ	케이세이배 오텀 핸디캡
シリウスステークス	시리우스 스테이크스
サウジアラビアロイヤルカップ	사우디아라비아 로얄컵
富士ステークス	후지 스테이크스
アルテミスステークス	아르테미스 스테이크스
ファンタジーステークス	판타지 스테이크스
みやこステークス	미야코 스테이크스
武蔵野ステークス	무사시노 스테이크스
福島記念	후쿠시마 기념
東京スポーツ杯ジュニアステークス	도쿄 스포츠배 주니어 스테이크스
京都ジュニアステークス	교토 주니어 스테이크스
京阪杯	케이한배
チャレンジカップ	챌린지컵
中日新聞杯	츄니치 신문배
カペラステークス	카펠라 스테이크스
ターコイズステークス	터키석 스테이크스
TCK女王盃	TCK여왕배
東京スプリント	도쿄 스프린트
スパーキングレディーカップ	스파킹 레이디컵
マリーンカップ	마린컵
クイーン賞	퀸상
マーキュリーカップ	머큐리컵
クラスターカップ	클러스터컵
万葉ステークス	만엽 스테이크스
ジュニアカップ	주니어컵
淀短距離ステークス	요도 단거리 스테이크스
ポルックスステークス	폴룩스 스테이크스
ジャニュアリーステークス	재뉴어리 스테이크스
ニューイヤーステークス	뉴 이어 스테이크스
紅梅ステークス	홍매화 스테이크스
すばるステークス	플레이아데스 스테이크스
若駒ステークス	와카고마 스테이크스
カーバンクルステークス	카벙클 스테이크스
白富士ステークス	시로후지 스테이크스
クロッカスステークス	크로코스 스테이크스
大和ステークス	야마토 스테이크스
エルフィンステークス	엘핀 스테이크스
洛陽ステークス	라쿠요 스테이크스
アルデバランステークス	알데바란 스테이크스
バレンタインステークス	밸런타인 스테이크스
ヒヤシンスステークス	히아신스 스테이크스
総武ステークス	소부 스테이크스
すみれステークス	제비꽃 스테이크스
大阪城ステークス	오사카성 스테이크스
ポラリスステークス	폴라리스 스테이크스
仁川ステークス	니가와 스테이크스
アネモネステークス	아네모네 스테이크스
昇竜ステークス	승룡 스테이크스
東風ステークス	동풍 스테이크스
若葉ステークス	새잎 스테이크스
千葉ステークス	치바 스테이크스
夢見月ステークス	유메미즈키 스테이크스
六甲ステークス	롯코 스테이크스
コーラルステークス	코랄 스테이크스
マーガレットステークス	마가렛 스테이크스
伏竜ステークス	복룡 스테이크스
大阪－ハンブルクカップ	오사카-함부르크컵
忘れな草賞	물망초상
京葉ステークス	케이요 스테이크스
春雷ステークス	춘뢰 스테이크스
福島民報杯	후쿠시마 민보배
橘ステークス	밀감 스테이크스
オアシスステークス	오아시스 스테이크스
天王山ステークス	텐노산 스테이크스
端午ステークス	단오 스테이크스
スイートピーステークス	스위트피 스테이크스
谷川岳ステークス	타니가와다케 스테이크스
プリンシパルステークス	프린시펄 스테이크스
メトロポリタンステークス	메트로폴리탄 스테이크스
鞍馬ステークス	쿠라마 스테이크스
ブリリアントステークス	브릴리언트 스테이크스
都大路ステークス	미야코 오지 스테이크스
葵ステークス	접시꽃 스테이크스
栗東ステークス	릿토 스테이크스
